index,Protein,rots_pvalues,rots_fdr,rots_logfc,rots_d
3422,3422,0.2807822472910791,0.5214873514172509,-0.1043328282188245,1.1166663480549042
3423,3423,0.37043528276681015,0.6064241486068112,-0.05018309752580663,0.9291547111290007
3424,3424,0.23600415615259018,0.4805327868852459,0.07228300768436924,-1.2254405685602086
3425,3425,0.25502226510316167,0.5008138020833333,-0.110499248429619,1.1776607039765075
3426,3426,0.6574558408787294,0.8232199887281608,-0.03656787849660148,0.46194870973616803
3427,3427,0.5688693038444411,0.7638522427440633,0.029602485351418295,-0.5931233840148057
3428,3428,0.6323133442184948,0.8046547119420069,0.02084693988772557,-0.4984668907030774
3429,3429,0.09036440552174559,0.29702650290885585,-0.20670513832887494,1.7429005229001622
3430,3430,0.1783275196675078,0.4132364810330912,-0.1383911909030502,1.389037706419224
3431,3431,0.09182648062936025,0.2994907702100573,-0.062299978263038014,1.735138156324915
3432,3432,0.05259351343327891,0.24127617148554337,-0.6880436329288617,1.9944986809428167
3433,3433,0.99346556330711,0.9973182359952324,0.03607449688731634,-0.008559919495086618
3434,3434,0.017935282766810154,0.17277486910994763,-0.0690554852848635,2.4408392028434256
3436,3436,0.3819110880213745,0.6181541582150102,0.09857477328032438,-0.9075430955426892
3437,3437,0.0662843253673742,0.2603911980440098,0.09796784018158178,-1.8898841474744357
3438,3438,0.2172992429864925,0.45503403797921893,0.06143243505892215,-1.275107661489792
3439,3439,0.06697639899064865,0.2603911980440098,-0.3480092879782646,1.8848425123702741
3440,3440,0.8613433278907525,0.9348281980964672,-0.03093497170664783,-0.18210609810082423
3441,3441,0.8798129731334422,0.9445419725502713,0.010410861753726408,-0.15759222696382702
3442,3442,0.5746686210479441,0.7670420269455057,-0.2174317982853129,0.5842059934568279
3443,3443,0.7714164316461333,0.8881635457825116,-0.024393412710935536,0.3028488322631563
3444,3444,0.6755117262876651,0.8352788586251622,0.42106111848429073,-0.43613014969065894
